 MC-cycles  Accepted_Steps      Dimensions       Particles      Steplength           alpha          dalpha            beta           dbeta          Energy        Variance            Time          Thread
     65536           63994               3              10            0.01        0.498228    -0.000755824         2.82843      -0.0104434         24.3185      0.00057804        0.771994               2
     65536           63954               3              10            0.01        0.498306      0.00671216         2.82843     -0.00920056         24.3198     0.000553346        0.772161               5
     65536           63983               3              10            0.01        0.498273      -0.0125736         2.82843      -0.0111038         24.3185     0.000571296        0.779397               6
     65536           63973               3              10            0.01        0.498243      -0.0048648         2.82843      -0.0109893         24.3187     0.000572184        0.786359               7
     65536           64014               3              10            0.01        0.498342      0.00620387         2.82843     -0.00941225         24.3182     0.000534305        0.774232               1
     65536           63996               3              10            0.01        0.498236     -0.00486257         2.82843      -0.0107021         24.3182     0.000573698        0.772225               3
     65536           63989               3              10            0.01        0.498289     0.000961957         2.82843      -0.0102648         24.3189     0.000573561        0.776488               4
     65536           64016               3              10            0.01        0.498312      0.00317675         2.82843      -0.0100364         24.3189     0.000550784        0.771257               0
     65536           63954               3              10            0.01        0.498236     -0.00155559         2.82843      -0.0108235         24.3192     0.000596806        0.773284               2
     65536           64030               3              10            0.01        0.498239      -0.0103689         2.82843      -0.0109412         24.3189      0.00057148        0.775981               5
     65536           64039               3              10            0.01        0.498292     -0.00148242         2.82843      -0.0102732         24.3188      0.00057237        0.774361               7
     65536           63988               3              10            0.01        0.498398      0.00867907         2.82843      -0.0090194         24.3184     0.000541419        0.786204               6
     65536           64069               3              10            0.01         0.49828      0.00270391         2.82843      -0.0100472         24.3182     0.000561104        0.783249               1
     65536           64006               3              10            0.01        0.498285    -0.000134494         2.82843      -0.0104816          24.318     0.000572959        0.779152               3
     65536           64058               3              10            0.01         0.49828     -0.00788201         2.82843      -0.0106917         24.3187     0.000579279        0.825943               4
     65536           64036               3              10            0.01         0.49828     -0.00422303         2.82843      -0.0110599         24.3183     0.000576845        0.794441               0
     65536           64034               3              10            0.01        0.498251     0.000976722         2.82843      -0.0102721          24.318     0.000572616        0.787866               2
     65536           63986               3              10            0.01        0.498343      0.00282126         2.82843      -0.0102345         24.3183     0.000544116        0.810663               5
     65536           64035               3              10            0.01        0.498307    -0.000993601         2.82843      -0.0099797         24.3182      0.00054574        0.790302               7
     65536           64002               3              10            0.01        0.498253     -0.00843065         2.82843       -0.011781          24.318     0.000583465        0.787229               1
     65536           64006               3              10            0.01        0.498312      0.00722166         2.82843      -0.0102975         24.3197     0.000578024        0.797376               6
     65536           64015               3              10            0.01        0.498286     -0.00114287         2.82843     -0.00968595         24.3192     0.000563765        0.789371               3
     65536           63987               3              10            0.01        0.498359       0.0157416         2.82843     -0.00957002         24.3186     0.000553126        0.802611               4
     65536           64022               3              10            0.01        0.498322     0.000665664         2.82843      -0.0104079         24.3183     0.000569283         0.77527               0
     65536           63990               3              10            0.01        0.498242      0.00581627         2.82843      -0.0095752         24.3183     0.000547174        0.774185               2
     65536           63968               3              10            0.01        0.498315     -0.00620501         2.82843      -0.0108008         24.3187     0.000582955        0.785999               5
     65536           64029               3              10            0.01        0.498316       0.0015811         2.82843      -0.0103907         24.3192     0.000582205        0.775266               7
     65536           63990               3              10            0.01        0.498239     -0.00670047         2.82843      -0.0108248         24.3194     0.000563434        0.773727               6
     65536           63956               3              10            0.01        0.498337      0.00497751         2.82843     -0.00983879         24.3195     0.000554458        0.777327               1
     65536           63992               3              10            0.01        0.498298      0.00432456         2.82843      -0.0101693         24.3179     0.000561244        0.777183               3
     65536           64001               3              10            0.01        0.498201      -0.0075979         2.82843      -0.0112747         24.3176     0.000566154         0.77359               4
     65536           63975               3              10            0.01        0.498316    -0.000152584         2.82843     -0.00996789         24.3188     0.000555757        0.776719               0
     65536           63961               3              10            0.01        0.498183       -0.010589         2.82843      -0.0109985         24.3185     0.000585906        0.795164               2
     65536           63945               3              10            0.01        0.498377      0.00809256         2.82843     -0.00903004         24.3187     0.000539964        0.776365               5
     65536           63988               3              10            0.01        0.498301     -0.00687077         2.82843       -0.010983         24.3188     0.000572025        0.779422               7
     65536           63939               3              10            0.01        0.498306      0.00658316         2.82843      -0.0101807         24.3178     0.000568877        0.787056               6
     65536           63974               3              10            0.01        0.498287     -0.00667731         2.82843      -0.0111123         24.3193     0.000576167        0.795765               1
     65536           63985               3              10            0.01        0.498255      0.00113234         2.82843      -0.0100381         24.3181      0.00057881        0.776597               3
     65536           64047               3              10            0.01        0.498277       0.0014286         2.82843     -0.00976436         24.3185     0.000548133        0.775924               4
     65536           64028               3              10            0.01        0.498317       0.0032087         2.82843      -0.0100534          24.319     0.000567988         0.77328               0
     65536           64006               3              10            0.01        0.498289     -0.00284494         2.82843      -0.0110994         24.3189     0.000579075        0.786807               2
     65536           64007               3              10            0.01        0.498296     1.41689e-05         2.82843     -0.00982523         24.3174      0.00053123        0.782901               5
     65536           64083               3              10            0.01        0.498369       0.0128833         2.82843     -0.00962479         24.3193     0.000575029        0.792579               7
     65536           64016               3              10            0.01        0.498241     -0.00593931         2.82843      -0.0106926         24.3185     0.000577054        0.779897               6
